epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2334.58,0.5406,0.44311,1.03186,0.87173,0.6313,0.66777,0.54246,0.68082,0.65682,1.17974,0.000275084,0.000275084,0.000275084
78,2365.75,0.51064,0.42266,1.01171,0.90287,0.62662,0.665,0.53974,0.68541,0.66816,1.21265,0.000264085,0.000264085,0.000264085
79,2395.31,0.49885,0.41844,1.01799,0.89657,0.62307,0.65966,0.53695,0.70382,0.68963,1.22041,0.000253086,0.000253086,0.000253086
80,2424.91,0.52819,0.43739,1.0211,0.66727,0.62599,0.64602,0.52194,0.7003,0.67279,1.21562,0.000242087,0.000242087,0.000242087
81,2454.47,0.51896,0.42115,1.01979,0.67171,0.64631,0.66075,0.53484,0.67868,0.63153,1.19802,0.000231088,0.000231088,0.000231088
82,2484.52,0.50506,0.42689,1.01174,0.67556,0.66511,0.66913,0.54356,0.66833,0.63109,1.1836,0.000220089,0.000220089,0.000220089
83,2514.37,0.49084,0.41992,1.01401,0.66415,0.65863,0.65855,0.53701,0.68909,0.65706,1.21163,0.00020909,0.00020909,0.00020909
84,2546.11,0.50022,0.40345,1.01525,0.68169,0.64246,0.65581,0.53127,0.71986,0.66668,1.22689,0.000198091,0.000198091,0.000198091
85,2575.98,0.50397,0.41324,1.01493,0.89104,0.63747,0.66561,0.5385,0.66455,0.66507,1.18585,0.000187092,0.000187092,0.000187092
86,2605.75,0.50121,0.39986,1.01107,0.65735,0.64142,0.65894,0.53727,0.67407,0.67064,1.19466,0.000176094,0.000176094,0.000176094
87,2636.7,0.51575,0.42557,1.02276,0.68363,0.65077,0.66371,0.54166,0.65966,0.63758,1.18474,0.000165095,0.000165095,0.000165095
88,2667.1,0.51058,0.40763,1.02075,0.69071,0.63792,0.66798,0.54488,0.66468,0.64251,1.18644,0.000154096,0.000154096,0.000154096
89,2697.22,0.48236,0.39832,0.99682,0.69523,0.63244,0.66657,0.54138,0.67121,0.63194,1.19304,0.000143097,0.000143097,0.000143097
90,2730.13,0.47387,0.39669,0.99727,0.8838,0.63762,0.66343,0.53904,0.6714,0.66511,1.20926,0.000132098,0.000132098,0.000132098
91,2761.76,0.40922,0.34676,0.94051,0.65876,0.65605,0.6547,0.5314,0.68911,0.65491,1.21851,0.000121099,0.000121099,0.000121099
92,2791.34,0.40344,0.32012,0.93892,0.69472,0.6388,0.668,0.53951,0.68394,0.6474,1.2116,0.0001101,0.0001101,0.0001101
93,2821.21,0.40396,0.31572,0.93398,0.65524,0.64464,0.66059,0.53251,0.67562,0.6677,1.20494,9.91012e-05,9.91012e-05,9.91012e-05
94,2850.69,0.39696,0.30281,0.93124,0.66063,0.65879,0.66792,0.53657,0.70003,0.67228,1.23035,8.81023e-05,8.81023e-05,8.81023e-05
95,2879.87,0.39086,0.29714,0.93088,0.67263,0.6625,0.66855,0.53733,0.70678,0.65463,1.23641,7.71034e-05,7.71034e-05,7.71034e-05
96,2908.7,0.39628,0.30389,0.94004,0.67746,0.655,0.66989,0.54026,0.69102,0.65349,1.22312,6.61045e-05,6.61045e-05,6.61045e-05
97,2937.43,0.38148,0.29636,0.92914,0.69504,0.63974,0.66882,0.53614,0.68712,0.63883,1.22786,5.51056e-05,5.51056e-05,5.51056e-05
98,2966.22,0.38378,0.28915,0.92937,0.69355,0.65221,0.6707,0.53843,0.68639,0.65135,1.22246,4.41067e-05,4.41067e-05,4.41067e-05
99,2994.95,0.37261,0.28631,0.91836,0.70561,0.64483,0.67309,0.5421,0.68953,0.65808,1.22501,3.31078e-05,3.31078e-05,3.31078e-05
100,3024.15,0.3739,0.28541,0.92337,0.70332,0.64231,0.67102,0.54018,0.68155,0.6561,1.21924,2.21089e-05,2.21089e-05,2.21089e-05
